userId	geneSymbol	geneName	entrezgene	gLink
GPX8	GPX8	glutathione peroxidase 8 (putative)	493869	https://www.ncbi.nlm.nih.gov/gene/?term=493869
CPNE8	CPNE8	copine 8	144402	https://www.ncbi.nlm.nih.gov/gene/?term=144402
GLB1L2	GLB1L2	galactosidase beta 1 like 2	89944	https://www.ncbi.nlm.nih.gov/gene/?term=89944
AXL	AXL	AXL receptor tyrosine kinase	558	https://www.ncbi.nlm.nih.gov/gene/?term=558
IGDCC3	IGDCC3	immunoglobulin superfamily DCC subclass member 3	9543	https://www.ncbi.nlm.nih.gov/gene/?term=9543
TGFBI	TGFBI	transforming growth factor beta induced	7045	https://www.ncbi.nlm.nih.gov/gene/?term=7045
FENDRR	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA	400550	https://www.ncbi.nlm.nih.gov/gene/?term=400550
HTR7	HTR7	5-hydroxytryptamine receptor 7	3363	https://www.ncbi.nlm.nih.gov/gene/?term=3363
LRFN2	LRFN2	leucine rich repeat and fibronectin type III domain containing 2	57497	https://www.ncbi.nlm.nih.gov/gene/?term=57497
OSR1	OSR1	odd-skipped related transcription factor 1	130497	https://www.ncbi.nlm.nih.gov/gene/?term=130497
SCG3	SCG3	secretogranin III	29106	https://www.ncbi.nlm.nih.gov/gene/?term=29106
SASH1	SASH1	SAM and SH3 domain containing 1	23328	https://www.ncbi.nlm.nih.gov/gene/?term=23328
CHST15	CHST15	carbohydrate sulfotransferase 15	51363	https://www.ncbi.nlm.nih.gov/gene/?term=51363
MEG8	MEG8	maternally expressed 8, small nucleolar RNA host gene	79104	https://www.ncbi.nlm.nih.gov/gene/?term=79104
VANGL2	VANGL2	VANGL planar cell polarity protein 2	57216	https://www.ncbi.nlm.nih.gov/gene/?term=57216
CHRNA3	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	1136	https://www.ncbi.nlm.nih.gov/gene/?term=1136
MEG9	MEG9	maternally expressed 9	100507257	https://www.ncbi.nlm.nih.gov/gene/?term=100507257
RUNDC3A	RUNDC3A	RUN domain containing 3A	10900	https://www.ncbi.nlm.nih.gov/gene/?term=10900
NUDT11	NUDT11	nudix hydrolase 11	55190	https://www.ncbi.nlm.nih.gov/gene/?term=55190
ZNF677	ZNF677	zinc finger protein 677	342926	https://www.ncbi.nlm.nih.gov/gene/?term=342926
RAB39A	RAB39A	RAB39A, member RAS oncogene family	54734	https://www.ncbi.nlm.nih.gov/gene/?term=54734
SOD3	SOD3	superoxide dismutase 3	6649	https://www.ncbi.nlm.nih.gov/gene/?term=6649
VIP	VIP	vasoactive intestinal peptide	7432	https://www.ncbi.nlm.nih.gov/gene/?term=7432
MGMT	MGMT	O-6-methylguanine-DNA methyltransferase	4255	https://www.ncbi.nlm.nih.gov/gene/?term=4255
DRGX	DRGX	dorsal root ganglia homeobox	644168	https://www.ncbi.nlm.nih.gov/gene/?term=644168
COL12A1	COL12A1	collagen type XII alpha 1 chain	1303	https://www.ncbi.nlm.nih.gov/gene/?term=1303
MME	MME	membrane metalloendopeptidase	4311	https://www.ncbi.nlm.nih.gov/gene/?term=4311
HRAT92	HRAT92	heart tissue-associated transcript 92	441307	https://www.ncbi.nlm.nih.gov/gene/?term=441307
LDOC1	LDOC1	LDOC1, regulator of NFKB signaling	23641	https://www.ncbi.nlm.nih.gov/gene/?term=23641
BCHE	BCHE	butyrylcholinesterase	590	https://www.ncbi.nlm.nih.gov/gene/?term=590
ST8SIA2	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	8128	https://www.ncbi.nlm.nih.gov/gene/?term=8128
HOXB6	HOXB6	homeobox B6	3216	https://www.ncbi.nlm.nih.gov/gene/?term=3216
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016	https://www.ncbi.nlm.nih.gov/gene/?term=57016
TM4SF1	TM4SF1	transmembrane 4 L six family member 1	4071	https://www.ncbi.nlm.nih.gov/gene/?term=4071
COLEC10	COLEC10	collectin subfamily member 10	10584	https://www.ncbi.nlm.nih.gov/gene/?term=10584
DMRTA1	DMRTA1	DMRT like family A1	63951	https://www.ncbi.nlm.nih.gov/gene/?term=63951
MYOF	MYOF	myoferlin	26509	https://www.ncbi.nlm.nih.gov/gene/?term=26509
TAB3	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3	257397	https://www.ncbi.nlm.nih.gov/gene/?term=257397
FLRT3	FLRT3	fibronectin leucine rich transmembrane protein 3	23767	https://www.ncbi.nlm.nih.gov/gene/?term=23767
PHYHIPL	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like	84457	https://www.ncbi.nlm.nih.gov/gene/?term=84457
SEZ6	SEZ6	seizure related 6 homolog	124925	https://www.ncbi.nlm.nih.gov/gene/?term=124925
LINGO2	LINGO2	leucine rich repeat and Ig domain containing 2	158038	https://www.ncbi.nlm.nih.gov/gene/?term=158038
COL8A1	COL8A1	collagen type VIII alpha 1 chain	1295	https://www.ncbi.nlm.nih.gov/gene/?term=1295
MCF2L	MCF2L	MCF.2 cell line derived transforming sequence like	23263	https://www.ncbi.nlm.nih.gov/gene/?term=23263
SIM1	SIM1	SIM bHLH transcription factor 1	6492	https://www.ncbi.nlm.nih.gov/gene/?term=6492
CD248	CD248	CD248 molecule	57124	https://www.ncbi.nlm.nih.gov/gene/?term=57124
CCN4	CCN4	cellular communication network factor 4	8840	https://www.ncbi.nlm.nih.gov/gene/?term=8840
SGMS2	SGMS2	sphingomyelin synthase 2	166929	https://www.ncbi.nlm.nih.gov/gene/?term=166929
PAWR	PAWR	pro-apoptotic WT1 regulator	5074	https://www.ncbi.nlm.nih.gov/gene/?term=5074
B3GAT1	B3GAT1	beta-1,3-glucuronyltransferase 1	27087	https://www.ncbi.nlm.nih.gov/gene/?term=27087
C7	C7	complement C7	730	https://www.ncbi.nlm.nih.gov/gene/?term=730
INA	INA	internexin neuronal intermediate filament protein alpha	9118	https://www.ncbi.nlm.nih.gov/gene/?term=9118
NPTX2	NPTX2	neuronal pentraxin 2	4885	https://www.ncbi.nlm.nih.gov/gene/?term=4885
SULT1C2	SULT1C2	sulfotransferase family 1C member 2	6819	https://www.ncbi.nlm.nih.gov/gene/?term=6819
TWIST2	TWIST2	twist family bHLH transcription factor 2	117581	https://www.ncbi.nlm.nih.gov/gene/?term=117581
ZNF90	ZNF90	zinc finger protein 90	7643	https://www.ncbi.nlm.nih.gov/gene/?term=7643
PAX5	PAX5	paired box 5	5079	https://www.ncbi.nlm.nih.gov/gene/?term=5079
DOC2B	DOC2B	double C2 domain beta	8447	https://www.ncbi.nlm.nih.gov/gene/?term=8447
MICA	MICA	MHC class I polypeptide-related sequence A	100507436	https://www.ncbi.nlm.nih.gov/gene/?term=100507436
CADPS2	CADPS2	calcium dependent secretion activator 2	93664	https://www.ncbi.nlm.nih.gov/gene/?term=93664
NELL1	NELL1	neural EGFL like 1	4745	https://www.ncbi.nlm.nih.gov/gene/?term=4745
NDN	NDN	necdin, MAGE family member	4692	https://www.ncbi.nlm.nih.gov/gene/?term=4692
P2RY8	P2RY8	P2Y receptor family member 8	286530	https://www.ncbi.nlm.nih.gov/gene/?term=286530
SLC6A17	SLC6A17	solute carrier family 6 member 17	388662	https://www.ncbi.nlm.nih.gov/gene/?term=388662
CCDC92B	CCDC92B	coiled-coil domain containing 92B	101928991	https://www.ncbi.nlm.nih.gov/gene/?term=101928991
SMOC1	SMOC1	SPARC related modular calcium binding 1	64093	https://www.ncbi.nlm.nih.gov/gene/?term=64093
IL15RA	IL15RA	interleukin 15 receptor subunit alpha	3601	https://www.ncbi.nlm.nih.gov/gene/?term=3601
CAPN6	CAPN6	calpain 6	827	https://www.ncbi.nlm.nih.gov/gene/?term=827
CXCL5	CXCL5	C-X-C motif chemokine ligand 5	6374	https://www.ncbi.nlm.nih.gov/gene/?term=6374
PSMB9	PSMB9	proteasome subunit beta 9	5698	https://www.ncbi.nlm.nih.gov/gene/?term=5698
HOXA11-AS	HOXA11-AS	HOXA11 antisense RNA	221883	https://www.ncbi.nlm.nih.gov/gene/?term=221883
