geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-156842	Eukaryotic Translation Elongation	http://reactome.org/PathwayBrowser/#/R-HSA-156842	0.9475447401130777	1.562878334919007	0	3.3224340973124684e-4	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_156842.png	36	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;1917;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;1933;6169;6228	EEF1A2;EEF1B2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-156902	Peptide chain elongation	http://reactome.org/PathwayBrowser/#/R-HSA-156902	0.9482878338419463	1.5632062947869898	0	4.983651145968703e-4	41	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_156902.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-192823	Viral mRNA Translation	http://reactome.org/PathwayBrowser/#/R-HSA-192823	0.9482878338419463	1.5632062947869898	0	4.983651145968703e-4	41	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_192823.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72613	Eukaryotic Translation Initiation	http://reactome.org/PathwayBrowser/#/R-HSA-72613	0.9351739578258768	1.5437701338197876	0	5.980381375162443e-4	48	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72613.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;1974;25873;6206;6234;1968;6169;8666;6228	EIF2S3;EIF3G;EIF4A2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72737	Cap-dependent Translation Initiation	http://reactome.org/PathwayBrowser/#/R-HSA-72737	0.9351739578258768	1.5437701338197876	0	5.980381375162443e-4	48	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72737.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;1974;25873;6206;6234;1968;6169;8666;6228	EIF2S3;EIF3G;EIF4A2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	http://reactome.org/PathwayBrowser/#/R-HSA-1799339	0.9298701133301959	1.5425491400219355	0	6.852520325706966e-4	51	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_1799339.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;1650;6171;25873;6746;6206;6234;6734;6169;6228	DDOST;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;SRPRA;SSR2;UBA52
R-HSA-168255	Influenza Life Cycle	http://reactome.org/PathwayBrowser/#/R-HSA-168255	0.9308878817008128	1.539009326616776	0	0.001273599737303113	53	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_168255.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;1213;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;5901;7514;6169;6228	CLTC;RAN;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52;XPO1
R-HSA-168273	Influenza Viral RNA Transcription and Replication	http://reactome.org/PathwayBrowser/#/R-HSA-168273	0.9326067969268996	1.539606195601641	0	0.0012898861789566052	49	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_168273.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-168254	Influenza Infection	http://reactome.org/PathwayBrowser/#/R-HSA-168254	0.9252517772684803	1.5314984897906467	0	0.00204591994413452	57	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_168254.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;1213;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;5901;7514;6169;6228	CLTC;RAN;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52;XPO1
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	http://reactome.org/PathwayBrowser/#/R-HSA-2173782	0.9543859835250584	1.517927939330712	9.99999999e-4	0.00553185277202526	17	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_2173782.png	5	1277;6678;2512;4035;2495	COL1A1;FTH1;FTL;LRP1;SPARC
R-HSA-8948216	Collagen chain trimerization	http://reactome.org/PathwayBrowser/#/R-HSA-8948216	0.9333094990676934	1.517132501204413	0	0.00579052799817316	28	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_8948216.png	7	1277;1292;1291;1293;80781;1289;1290	COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3
R-HSA-72649	Translation initiation complex formation	http://reactome.org/PathwayBrowser/#/R-HSA-72649	0.9285973711076448	1.5107082823348639	0	0.008970572062743664	27	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72649.png	20	6187;6188;6222;6193;6202;6201;6223;6217;6189;6208;6230;6229;6209;6227;1974;6206;6234;1968;8666;6228	EIF2S3;EIF3G;EIF4A2;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8
R-HSA-72702	Ribosomal scanning and start codon recognition	http://reactome.org/PathwayBrowser/#/R-HSA-72702	0.9285973711076448	1.5107082823348639	0	0.008970572062743664	27	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72702.png	20	6187;6188;6222;6193;6202;6201;6223;6217;6189;6208;6230;6229;6209;6227;1974;6206;6234;1968;8666;6228	EIF2S3;EIF3G;EIF4A2;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8
R-HSA-3000178	ECM proteoglycans	http://reactome.org/PathwayBrowser/#/R-HSA-3000178	0.9102232369895616	1.5090509158779628	0	0.009884241439504593	51	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_3000178.png	21	1277;2335;6678;3912;3915;1292;1291;3688;375790;1293;1289;3913;5802;3339;1290;4684;1605;3371;3685;7040;3673	AGRN;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;DAG1;FN1;HSPG2;ITGA2;ITGAV;ITGB1;LAMB1;LAMB2;LAMC1;NCAM1;PTPRS;SPARC;TGFB1;TNC
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	http://reactome.org/PathwayBrowser/#/R-HSA-72695	0.9275197589479556	1.507792873035574	0	0.010126779128608404	26	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72695.png	19	6187;6188;6222;6193;6202;6201;6223;6217;6189;6208;6230;6229;6209;6227;6206;6234;1968;8666;6228	EIF2S3;EIF3G;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	http://reactome.org/PathwayBrowser/#/R-HSA-9010553	0.9051458862420354	1.5039661876962944	0	0.013034164535610453	69	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_9010553.png	38	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;5708;5688;10921;6169;6228;1605	DAG1;PSMA7;PSMD2;RNPS1;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	http://reactome.org/PathwayBrowser/#/R-HSA-72662	0.9190300369263216	1.4954880788122227	0	0.022629467796139367	28	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72662.png	20	6187;6188;6222;6193;6202;6201;6223;6217;6189;6208;6230;6229;6209;6227;1974;6206;6234;1968;8666;6228	EIF2S3;EIF3G;EIF4A2;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814	0.9055430762702412	1.4864305075956608	0	0.03730618857839429	45	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_1650814.png	14	1277;1292;871;1291;1293;8985;80781;5351;1289;79709;10536;1290;64175;10491	COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COLGALT1;CRTAP;P3H1;P3H3;PLOD1;PLOD3;SERPINH1
R-HSA-8874081	MET activates PTK2 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-8874081	0.9178498035581611	1.4845691740870197	9.99999999e-4	0.03911306899387851	22	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_8874081.png	9	1277;2335;3912;3675;3915;3688;1289;3913;1290	COL1A1;COL5A1;COL5A2;FN1;ITGA3;ITGB1;LAMB1;LAMB2;LAMC1
R-HSA-76009	Platelet Aggregation (Plug Formation)	http://reactome.org/PathwayBrowser/#/R-HSA-76009	0.9156487567374607	1.4812709983028807	0	0.04145774797052714	18	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_76009.png	3	1277;2335;7094	COL1A1;FN1;TLN1
R-HSA-376176	Signaling by ROBO receptors	http://reactome.org/PathwayBrowser/#/R-HSA-376176	0.8861220258514442	1.480070544138089	0	0.04204389330417233	92	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_376176.png	43	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;2817;6206;6234;6586;5708;5688;10921;5217;6169;8829;6228;1605;5578	DAG1;GPC1;NRP1;PFN2;PRKCA;PSMA7;PSMD2;RNPS1;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;SLIT3;UBA52
R-HSA-216083	Integrin cell surface interactions	http://reactome.org/PathwayBrowser/#/R-HSA-216083	0.8936197027665703	1.4822701715442814	0	0.04206201567197585	57	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_216083.png	21	1277;2335;3675;1292;1291;3688;375790;1293;80781;1289;2200;960;3339;3678;1290;3655;3371;3685;3673;7412;7057	AGRN;CD44;COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;FBN1;FN1;HSPG2;ITGA2;ITGA3;ITGA5;ITGA6;ITGAV;ITGB1;THBS1;TNC;VCAM1
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	http://reactome.org/PathwayBrowser/#/R-HSA-2022090	0.9003841484617692	1.4813423389175924	0	0.042698636915138304	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_2022090.png	15	1277;5339;1508;1292;1291;4017;1293;80781;1289;667;1290;977;3655;84695;3914	CD151;COL18A1;COL1A1;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;CTSB;DST;ITGA6;LAMB3;LOXL2;LOXL3;PLEC
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	http://reactome.org/PathwayBrowser/#/R-HSA-6791226	0.8851970125747177	1.4777279197898034	0	0.04529259423836262	71	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_6791226.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;6169;6228;10528	NOP56;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-3000171	Non-integrin membrane-ECM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-3000171	0.8953542885532829	1.4748720694893223	0	0.050519983616848445	40	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_3000171.png	20	1277;2335;3912;3915;3688;375790;1289;3913;3339;1290;6382;1605;5578;3655;3371;3914;3685;7040;3673;7057	AGRN;COL1A1;COL5A1;COL5A2;DAG1;FN1;HSPG2;ITGA2;ITGA6;ITGAV;ITGB1;LAMB1;LAMB2;LAMB3;LAMC1;PRKCA;SDC1;TGFB1;THBS1;TNC
R-HSA-8868773	rRNA processing in the nucleus and cytosol	http://reactome.org/PathwayBrowser/#/R-HSA-8868773	0.8831629725749522	1.4741827858793697	0	0.050722493885637016	72	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_8868773.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;6169;6228;10528	NOP56;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72766	Translation	http://reactome.org/PathwayBrowser/#/R-HSA-72766	0.8770652388736982	1.4702619543119178	0	0.059534427203193685	99	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72766.png	42	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;1917;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;1650;6171;1974;25873;6746;6206;6234;1968;6734;1933;6169;8666;6228	DDOST;EEF1A2;EEF1B2;EIF2S3;EIF3G;EIF4A2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;SRPRA;SSR2;UBA52
R-HSA-8876725	Protein methylation	http://reactome.org/PathwayBrowser/#/R-HSA-8876725	0.9628640896353038	1.469165130212726	0.007268951186636603	0.06064316552357705	7	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_8876725.png	4	6187;805;7415;801	CALM1;CALM2;RPS2;VCP
R-HSA-72312	rRNA processing	http://reactome.org/PathwayBrowser/#/R-HSA-72312	0.8793222070074407	1.4678477401201648	0	0.062410646658746516	74	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72312.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;6169;6228;10528	NOP56;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
