userId	geneSymbol	geneName	entrezgene	gLink
SMOC1	SMOC1	SPARC related modular calcium binding 1	64093	https://www.ncbi.nlm.nih.gov/gene/?term=64093
COL12A1	COL12A1	collagen type XII alpha 1 chain	1303	https://www.ncbi.nlm.nih.gov/gene/?term=1303
MSN	MSN	moesin	4478	https://www.ncbi.nlm.nih.gov/gene/?term=4478
AXL	AXL	AXL receptor tyrosine kinase	558	https://www.ncbi.nlm.nih.gov/gene/?term=558
HTR7	HTR7	5-hydroxytryptamine receptor 7	3363	https://www.ncbi.nlm.nih.gov/gene/?term=3363
DPP10	DPP10	dipeptidyl peptidase like 10	57628	https://www.ncbi.nlm.nih.gov/gene/?term=57628
F2RL2	F2RL2	coagulation factor II thrombin receptor like 2	2151	https://www.ncbi.nlm.nih.gov/gene/?term=2151
MME	MME	membrane metalloendopeptidase	4311	https://www.ncbi.nlm.nih.gov/gene/?term=4311
ENPP1	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	5167	https://www.ncbi.nlm.nih.gov/gene/?term=5167
PAWR	PAWR	pro-apoptotic WT1 regulator	5074	https://www.ncbi.nlm.nih.gov/gene/?term=5074
PERP	PERP	PERP, TP53 apoptosis effector	64065	https://www.ncbi.nlm.nih.gov/gene/?term=64065
SOD3	SOD3	superoxide dismutase 3	6649	https://www.ncbi.nlm.nih.gov/gene/?term=6649
VGLL3	VGLL3	vestigial like family member 3	389136	https://www.ncbi.nlm.nih.gov/gene/?term=389136
IL4R	IL4R	interleukin 4 receptor	3566	https://www.ncbi.nlm.nih.gov/gene/?term=3566
COL8A1	COL8A1	collagen type VIII alpha 1 chain	1295	https://www.ncbi.nlm.nih.gov/gene/?term=1295
CD70	CD70	CD70 molecule	970	https://www.ncbi.nlm.nih.gov/gene/?term=970
PLAU	PLAU	plasminogen activator, urokinase	5328	https://www.ncbi.nlm.nih.gov/gene/?term=5328
FGF5	FGF5	fibroblast growth factor 5	2250	https://www.ncbi.nlm.nih.gov/gene/?term=2250
LINC02078	LINC02078	long intergenic non-protein coding RNA 2078	100652929	https://www.ncbi.nlm.nih.gov/gene/?term=100652929
TM4SF1	TM4SF1	transmembrane 4 L six family member 1	4071	https://www.ncbi.nlm.nih.gov/gene/?term=4071
SRGN	SRGN	serglycin	5552	https://www.ncbi.nlm.nih.gov/gene/?term=5552
OSR1	OSR1	odd-skipped related transcription factor 1	130497	https://www.ncbi.nlm.nih.gov/gene/?term=130497
OSMR	OSMR	oncostatin M receptor	9180	https://www.ncbi.nlm.nih.gov/gene/?term=9180
PASD1	PASD1	PAS domain containing repressor 1	139135	https://www.ncbi.nlm.nih.gov/gene/?term=139135
FOXF1	FOXF1	forkhead box F1	2294	https://www.ncbi.nlm.nih.gov/gene/?term=2294
KIRREL1	KIRREL1	kirre like nephrin family adhesion molecule 1	55243	https://www.ncbi.nlm.nih.gov/gene/?term=55243
TWIST2	TWIST2	twist family bHLH transcription factor 2	117581	https://www.ncbi.nlm.nih.gov/gene/?term=117581
PTX3	PTX3	pentraxin 3	5806	https://www.ncbi.nlm.nih.gov/gene/?term=5806
PCSK9	PCSK9	proprotein convertase subtilisin/kexin type 9	255738	https://www.ncbi.nlm.nih.gov/gene/?term=255738
FAM20C	FAM20C	FAM20C, golgi associated secretory pathway kinase	56975	https://www.ncbi.nlm.nih.gov/gene/?term=56975
CADPS2	CADPS2	calcium dependent secretion activator 2	93664	https://www.ncbi.nlm.nih.gov/gene/?term=93664
FENDRR	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA	400550	https://www.ncbi.nlm.nih.gov/gene/?term=400550
LYPD6B	LYPD6B	LY6/PLAUR domain containing 6B	130576	https://www.ncbi.nlm.nih.gov/gene/?term=130576
HRAT92	HRAT92	heart tissue-associated transcript 92	441307	https://www.ncbi.nlm.nih.gov/gene/?term=441307
KANK1	KANK1	KN motif and ankyrin repeat domains 1	23189	https://www.ncbi.nlm.nih.gov/gene/?term=23189
THBS1	THBS1	thrombospondin 1	7057	https://www.ncbi.nlm.nih.gov/gene/?term=7057
UST	UST	uronyl 2-sulfotransferase	10090	https://www.ncbi.nlm.nih.gov/gene/?term=10090
MYOF	MYOF	myoferlin	26509	https://www.ncbi.nlm.nih.gov/gene/?term=26509
KCNK2	KCNK2	potassium two pore domain channel subfamily K member 2	3776	https://www.ncbi.nlm.nih.gov/gene/?term=3776
MAGEB2	MAGEB2	MAGE family member B2	4113	https://www.ncbi.nlm.nih.gov/gene/?term=4113
SIX1	SIX1	SIX homeobox 1	6495	https://www.ncbi.nlm.nih.gov/gene/?term=6495
P2RY8	P2RY8	P2Y receptor family member 8	286530	https://www.ncbi.nlm.nih.gov/gene/?term=286530
DAB2	DAB2	DAB2, clathrin adaptor protein	1601	https://www.ncbi.nlm.nih.gov/gene/?term=1601
VCAM1	VCAM1	vascular cell adhesion molecule 1	7412	https://www.ncbi.nlm.nih.gov/gene/?term=7412
PSMB9	PSMB9	proteasome subunit beta 9	5698	https://www.ncbi.nlm.nih.gov/gene/?term=5698
XG	XG	Xg glycoprotein (Xg blood group)	7499	https://www.ncbi.nlm.nih.gov/gene/?term=7499
ANXA1	ANXA1	annexin A1	301	https://www.ncbi.nlm.nih.gov/gene/?term=301
RUNX2	RUNX2	runt related transcription factor 2	860	https://www.ncbi.nlm.nih.gov/gene/?term=860
COL1A1	COL1A1	collagen type I alpha 1 chain	1277	https://www.ncbi.nlm.nih.gov/gene/?term=1277
LINC02475	LINC02475	long intergenic non-protein coding RNA 2475	100506827	https://www.ncbi.nlm.nih.gov/gene/?term=100506827
MILR1	MILR1	mast cell immunoglobulin like receptor 1	284021	https://www.ncbi.nlm.nih.gov/gene/?term=284021
THBS2	THBS2	thrombospondin 2	7058	https://www.ncbi.nlm.nih.gov/gene/?term=7058
LEF1	LEF1	lymphoid enhancer binding factor 1	51176	https://www.ncbi.nlm.nih.gov/gene/?term=51176
CAMK1G	CAMK1G	calcium/calmodulin dependent protein kinase IG	57172	https://www.ncbi.nlm.nih.gov/gene/?term=57172
DPP4	DPP4	dipeptidyl peptidase 4	1803	https://www.ncbi.nlm.nih.gov/gene/?term=1803
LINC01029	LINC01029	long intergenic non-protein coding RNA 1029	101927715	https://www.ncbi.nlm.nih.gov/gene/?term=101927715
SULT1C2	SULT1C2	sulfotransferase family 1C member 2	6819	https://www.ncbi.nlm.nih.gov/gene/?term=6819
SP100	SP100	SP100 nuclear antigen	6672	https://www.ncbi.nlm.nih.gov/gene/?term=6672
IL1R1	IL1R1	interleukin 1 receptor type 1	3554	https://www.ncbi.nlm.nih.gov/gene/?term=3554
CCDC85A	CCDC85A	coiled-coil domain containing 85A	114800	https://www.ncbi.nlm.nih.gov/gene/?term=114800
LRIG3	LRIG3	leucine rich repeats and immunoglobulin like domains 3	121227	https://www.ncbi.nlm.nih.gov/gene/?term=121227
ITGBL1	ITGBL1	integrin subunit beta like 1	9358	https://www.ncbi.nlm.nih.gov/gene/?term=9358
SRPX2	SRPX2	sushi repeat containing protein X-linked 2	27286	https://www.ncbi.nlm.nih.gov/gene/?term=27286
KLF4	KLF4	Kruppel like factor 4	9314	https://www.ncbi.nlm.nih.gov/gene/?term=9314
LINC01797	LINC01797	long intergenic non-protein coding RNA 1797	101927577	https://www.ncbi.nlm.nih.gov/gene/?term=101927577
SNTB1	SNTB1	syntrophin beta 1	6641	https://www.ncbi.nlm.nih.gov/gene/?term=6641
CLDN1	CLDN1	claudin 1	9076	https://www.ncbi.nlm.nih.gov/gene/?term=9076
SGMS2	SGMS2	sphingomyelin synthase 2	166929	https://www.ncbi.nlm.nih.gov/gene/?term=166929
CD44	CD44	CD44 molecule (Indian blood group)	960	https://www.ncbi.nlm.nih.gov/gene/?term=960
WNT7B	WNT7B	Wnt family member 7B	7477	https://www.ncbi.nlm.nih.gov/gene/?term=7477
IFITM3	IFITM3	interferon induced transmembrane protein 3	10410	https://www.ncbi.nlm.nih.gov/gene/?term=10410
HRH2	HRH2	histamine receptor H2	3274	https://www.ncbi.nlm.nih.gov/gene/?term=3274
ELFN2	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794	https://www.ncbi.nlm.nih.gov/gene/?term=114794
ITGA5	ITGA5	integrin subunit alpha 5	3678	https://www.ncbi.nlm.nih.gov/gene/?term=3678
SLC19A3	SLC19A3	solute carrier family 19 member 3	80704	https://www.ncbi.nlm.nih.gov/gene/?term=80704
BMP4	BMP4	bone morphogenetic protein 4	652	https://www.ncbi.nlm.nih.gov/gene/?term=652
TMEM158	TMEM158	transmembrane protein 158 (gene/pseudogene)	25907	https://www.ncbi.nlm.nih.gov/gene/?term=25907
ARHGAP18	ARHGAP18	Rho GTPase activating protein 18	93663	https://www.ncbi.nlm.nih.gov/gene/?term=93663
MCOLN2	MCOLN2	mucolipin 2	255231	https://www.ncbi.nlm.nih.gov/gene/?term=255231
ARHGEF5	ARHGEF5	Rho guanine nucleotide exchange factor 5	7984	https://www.ncbi.nlm.nih.gov/gene/?term=7984
CHI3L1	CHI3L1	chitinase 3 like 1	1116	https://www.ncbi.nlm.nih.gov/gene/?term=1116
PRRX1	PRRX1	paired related homeobox 1	5396	https://www.ncbi.nlm.nih.gov/gene/?term=5396
APCDD1L	APCDD1L	APC down-regulated 1 like	164284	https://www.ncbi.nlm.nih.gov/gene/?term=164284
MID2	MID2	midline 2	11043	https://www.ncbi.nlm.nih.gov/gene/?term=11043
ME3	ME3	malic enzyme 3	10873	https://www.ncbi.nlm.nih.gov/gene/?term=10873
WWTR1	WWTR1	WW domain containing transcription regulator 1	25937	https://www.ncbi.nlm.nih.gov/gene/?term=25937
KISS1R	KISS1R	KISS1 receptor	84634	https://www.ncbi.nlm.nih.gov/gene/?term=84634
LINC01139	LINC01139	long intergenic non-protein coding RNA 1139	339535	https://www.ncbi.nlm.nih.gov/gene/?term=339535
MICB	MICB	MHC class I polypeptide-related sequence B	4277	https://www.ncbi.nlm.nih.gov/gene/?term=4277
MAGEC1	MAGEC1	MAGE family member C1	9947	https://www.ncbi.nlm.nih.gov/gene/?term=9947
JPH2	JPH2	junctophilin 2	57158	https://www.ncbi.nlm.nih.gov/gene/?term=57158
SYK	SYK	spleen associated tyrosine kinase	6850	https://www.ncbi.nlm.nih.gov/gene/?term=6850
RUNX1	RUNX1	runt related transcription factor 1	861	https://www.ncbi.nlm.nih.gov/gene/?term=861
GREM1	GREM1	gremlin 1, DAN family BMP antagonist	26585	https://www.ncbi.nlm.nih.gov/gene/?term=26585
NHSL1	NHSL1	NHS like 1	57224	https://www.ncbi.nlm.nih.gov/gene/?term=57224
GRAMD2B	GRAMD2B	GRAM domain containing 2B	65983	https://www.ncbi.nlm.nih.gov/gene/?term=65983
ADAMTSL1	ADAMTSL1	ADAMTS like 1	92949	https://www.ncbi.nlm.nih.gov/gene/?term=92949
ITM2A	ITM2A	integral membrane protein 2A	9452	https://www.ncbi.nlm.nih.gov/gene/?term=9452
MICA	MICA	MHC class I polypeptide-related sequence A	100507436	https://www.ncbi.nlm.nih.gov/gene/?term=100507436
LINC01287	LINC01287	long intergenic non-protein coding RNA 1287	103724390	https://www.ncbi.nlm.nih.gov/gene/?term=103724390
RAX	RAX	retina and anterior neural fold homeobox	30062	https://www.ncbi.nlm.nih.gov/gene/?term=30062
TFAP2A-AS1	TFAP2A-AS1	TFAP2A antisense RNA 1	100130275	https://www.ncbi.nlm.nih.gov/gene/?term=100130275
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	https://www.ncbi.nlm.nih.gov/gene/?term=53947
LINC01798	LINC01798	long intergenic non-protein coding RNA 1798	100507073	https://www.ncbi.nlm.nih.gov/gene/?term=100507073
ELFN1-AS1	ELFN1-AS1	ELFN1 antisense RNA 1	101927125	https://www.ncbi.nlm.nih.gov/gene/?term=101927125
CHSY3	CHSY3	chondroitin sulfate synthase 3	337876	https://www.ncbi.nlm.nih.gov/gene/?term=337876
HTRA1	HTRA1	HtrA serine peptidase 1	5654	https://www.ncbi.nlm.nih.gov/gene/?term=5654
CSGALNACT1	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	55790	https://www.ncbi.nlm.nih.gov/gene/?term=55790
ANKRD1	ANKRD1	ankyrin repeat domain 1	27063	https://www.ncbi.nlm.nih.gov/gene/?term=27063
CAVIN1	CAVIN1	caveolae associated protein 1	284119	https://www.ncbi.nlm.nih.gov/gene/?term=284119
NPR3	NPR3	natriuretic peptide receptor 3	4883	https://www.ncbi.nlm.nih.gov/gene/?term=4883
LINC00470	LINC00470	long intergenic non-protein coding RNA 470	56651	https://www.ncbi.nlm.nih.gov/gene/?term=56651
PCED1B	PCED1B	PC-esterase domain containing 1B	91523	https://www.ncbi.nlm.nih.gov/gene/?term=91523
CREG2	CREG2	cellular repressor of E1A stimulated genes 2	200407	https://www.ncbi.nlm.nih.gov/gene/?term=200407
MASP1	MASP1	mannan binding lectin serine peptidase 1	5648	https://www.ncbi.nlm.nih.gov/gene/?term=5648
GCNT1	GCNT1	glucosaminyl (N-acetyl) transferase 1	2650	https://www.ncbi.nlm.nih.gov/gene/?term=2650
SERPINE2	SERPINE2	serpin family E member 2	5270	https://www.ncbi.nlm.nih.gov/gene/?term=5270
MIR3142HG	MIR3142HG	MIR3142 host gene	107075116	https://www.ncbi.nlm.nih.gov/gene/?term=107075116
COL5A2	COL5A2	collagen type V alpha 2 chain	1290	https://www.ncbi.nlm.nih.gov/gene/?term=1290
PTGER4	PTGER4	prostaglandin E receptor 4	5734	https://www.ncbi.nlm.nih.gov/gene/?term=5734
GDF6	GDF6	growth differentiation factor 6	392255	https://www.ncbi.nlm.nih.gov/gene/?term=392255
ALPK2	ALPK2	alpha kinase 2	115701	https://www.ncbi.nlm.nih.gov/gene/?term=115701
HMGA2	HMGA2	high mobility group AT-hook 2	8091	https://www.ncbi.nlm.nih.gov/gene/?term=8091
FOXL1	FOXL1	forkhead box L1	2300	https://www.ncbi.nlm.nih.gov/gene/?term=2300
TTLL6	TTLL6	tubulin tyrosine ligase like 6	284076	https://www.ncbi.nlm.nih.gov/gene/?term=284076
SATB2-AS1	SATB2-AS1	SATB2 antisense RNA 1	150538	https://www.ncbi.nlm.nih.gov/gene/?term=150538
CCN4	CCN4	cellular communication network factor 4	8840	https://www.ncbi.nlm.nih.gov/gene/?term=8840
C4BPAP1	C4BPAP1	complement component 4 binding protein, alpha pseudogene 1	727859	https://www.ncbi.nlm.nih.gov/gene/?term=727859
PANTR1	PANTR1	POU3F3 adjacent non-coding transcript 1	100506421	https://www.ncbi.nlm.nih.gov/gene/?term=100506421
GBP1	GBP1	guanylate binding protein 1	2633	https://www.ncbi.nlm.nih.gov/gene/?term=2633
ZDHHC8P1	ZDHHC8P1	zinc finger DHHC-type containing 8 pseudogene 1	150244	https://www.ncbi.nlm.nih.gov/gene/?term=150244
LHX8	LHX8	LIM homeobox 8	431707	https://www.ncbi.nlm.nih.gov/gene/?term=431707
LMX1B	LMX1B	LIM homeobox transcription factor 1 beta	4010	https://www.ncbi.nlm.nih.gov/gene/?term=4010
FCGR2A	FCGR2A	Fc fragment of IgG receptor IIa	2212	https://www.ncbi.nlm.nih.gov/gene/?term=2212
PRSS23	PRSS23	serine protease 23	11098	https://www.ncbi.nlm.nih.gov/gene/?term=11098
MAGEC2	MAGEC2	MAGE family member C2	51438	https://www.ncbi.nlm.nih.gov/gene/?term=51438
HCP5	HCP5	HLA complex P5	10866	https://www.ncbi.nlm.nih.gov/gene/?term=10866
CREB3L1	CREB3L1	cAMP responsive element binding protein 3 like 1	90993	https://www.ncbi.nlm.nih.gov/gene/?term=90993
PLSCR4	PLSCR4	phospholipid scramblase 4	57088	https://www.ncbi.nlm.nih.gov/gene/?term=57088
TFAP2A	TFAP2A	transcription factor AP-2 alpha	7020	https://www.ncbi.nlm.nih.gov/gene/?term=7020
CECR7	CECR7	cat eye syndrome chromosome region, candidate 7	100130418	https://www.ncbi.nlm.nih.gov/gene/?term=100130418
HRH1	HRH1	histamine receptor H1	3269	https://www.ncbi.nlm.nih.gov/gene/?term=3269
LINC02669	LINC02669	long intergenic non-protein coding RNA 2669	101927880	https://www.ncbi.nlm.nih.gov/gene/?term=101927880
SVEP1	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	79987	https://www.ncbi.nlm.nih.gov/gene/?term=79987
TRIM22	TRIM22	tripartite motif containing 22	10346	https://www.ncbi.nlm.nih.gov/gene/?term=10346
TNFRSF11B	TNFRSF11B	TNF receptor superfamily member 11b	4982	https://www.ncbi.nlm.nih.gov/gene/?term=4982
PDGFC	PDGFC	platelet derived growth factor C	56034	https://www.ncbi.nlm.nih.gov/gene/?term=56034
ITGA3	ITGA3	integrin subunit alpha 3	3675	https://www.ncbi.nlm.nih.gov/gene/?term=3675
SSTR5	SSTR5	somatostatin receptor 5	6755	https://www.ncbi.nlm.nih.gov/gene/?term=6755
GPNMB	GPNMB	glycoprotein nmb	10457	https://www.ncbi.nlm.nih.gov/gene/?term=10457
TLR3	TLR3	toll like receptor 3	7098	https://www.ncbi.nlm.nih.gov/gene/?term=7098
LINC01239	LINC01239	long intergenic non-protein coding RNA 1239	441389	https://www.ncbi.nlm.nih.gov/gene/?term=441389
ADRB1	ADRB1	adrenoceptor beta 1	153	https://www.ncbi.nlm.nih.gov/gene/?term=153
HHIPL2	HHIPL2	HHIP like 2	79802	https://www.ncbi.nlm.nih.gov/gene/?term=79802
INSYN2B	INSYN2B	inhibitory synaptic factor family member 2B	100131897	https://www.ncbi.nlm.nih.gov/gene/?term=100131897
HOXB7	HOXB7	homeobox B7	3217	https://www.ncbi.nlm.nih.gov/gene/?term=3217
TAP1	TAP1	transporter 1, ATP binding cassette subfamily B member	6890	https://www.ncbi.nlm.nih.gov/gene/?term=6890
TENM2	TENM2	teneurin transmembrane protein 2	57451	https://www.ncbi.nlm.nih.gov/gene/?term=57451
CCN1	CCN1	cellular communication network factor 1	3491	https://www.ncbi.nlm.nih.gov/gene/?term=3491
LIPG	LIPG	lipase G, endothelial type	9388	https://www.ncbi.nlm.nih.gov/gene/?term=9388
DLX1	DLX1	distal-less homeobox 1	1745	https://www.ncbi.nlm.nih.gov/gene/?term=1745
EBI3	EBI3	Epstein-Barr virus induced 3	10148	https://www.ncbi.nlm.nih.gov/gene/?term=10148
SLC38A4	SLC38A4	solute carrier family 38 member 4	55089	https://www.ncbi.nlm.nih.gov/gene/?term=55089
PDGFA	PDGFA	platelet derived growth factor subunit A	5154	https://www.ncbi.nlm.nih.gov/gene/?term=5154
IFNLR1	IFNLR1	interferon lambda receptor 1	163702	https://www.ncbi.nlm.nih.gov/gene/?term=163702
MIR4527HG	MIR4527HG	MIR4527 host gene	110175910	https://www.ncbi.nlm.nih.gov/gene/?term=110175910
IKBKE	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	9641	https://www.ncbi.nlm.nih.gov/gene/?term=9641
TRABD2A	TRABD2A	TraB domain containing 2A	129293	https://www.ncbi.nlm.nih.gov/gene/?term=129293
ADRA1D	ADRA1D	adrenoceptor alpha 1D	146	https://www.ncbi.nlm.nih.gov/gene/?term=146
RBM47	RBM47	RNA binding motif protein 47	54502	https://www.ncbi.nlm.nih.gov/gene/?term=54502
NOG	NOG	noggin	9241	https://www.ncbi.nlm.nih.gov/gene/?term=9241
FIBCD1	FIBCD1	fibrinogen C domain containing 1	84929	https://www.ncbi.nlm.nih.gov/gene/?term=84929
LINC02106	LINC02106	long intergenic non-protein coding RNA 2106	100287592	https://www.ncbi.nlm.nih.gov/gene/?term=100287592
TCL6	TCL6	T cell leukemia/lymphoma 6	27004	https://www.ncbi.nlm.nih.gov/gene/?term=27004
WNT9A	WNT9A	Wnt family member 9A	7483	https://www.ncbi.nlm.nih.gov/gene/?term=7483
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
XDH	XDH	xanthine dehydrogenase	7498	https://www.ncbi.nlm.nih.gov/gene/?term=7498
KLF14	KLF14	Kruppel like factor 14	136259	https://www.ncbi.nlm.nih.gov/gene/?term=136259
CAV2	CAV2	caveolin 2	858	https://www.ncbi.nlm.nih.gov/gene/?term=858
EPHA4	EPHA4	EPH receptor A4	2043	https://www.ncbi.nlm.nih.gov/gene/?term=2043
EMP1	EMP1	epithelial membrane protein 1	2012	https://www.ncbi.nlm.nih.gov/gene/?term=2012
ADA2	ADA2	adenosine deaminase 2	51816	https://www.ncbi.nlm.nih.gov/gene/?term=51816
GIMAP2	GIMAP2	GTPase, IMAP family member 2	26157	https://www.ncbi.nlm.nih.gov/gene/?term=26157
SSTR5-AS1	SSTR5-AS1	SSTR5 antisense RNA 1	146336	https://www.ncbi.nlm.nih.gov/gene/?term=146336
IFITM2	IFITM2	interferon induced transmembrane protein 2	10581	https://www.ncbi.nlm.nih.gov/gene/?term=10581
