pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_ENDOPLASMIC_RETICULUM_LUMEN,0.000316707371763528,0.0192739057673233,0.49849310876659,0.69621146154028,1.82431544457466,73,COL1A1 FN1 LAMB1 VGF LAMC1 GANAB PDIA2 QSOX1 COL6A2 SERPINH1 COL6A1 PRKCSH APLP2 CALU COL6A3 PLOD3 LGALS1 CHGB COL18A1 COL5A1 SCG2 FBN1 LAMB2 NUCB1 CKAP4 FSTL1 COLGALT1 TMEM132A B2M CCN1 ADAMTS7 COL5A2 P3H1 CRTAP GAS6 MBTPS1 EDEM3 UGGT1
GO_ORGANELLE_INNER_MEMBRANE,0.00127937194546974,0.0545012448770109,0.45505986738723,0.694510220811203,1.81169469439396,67,MT-CO3 MT-ND5 RPS3 MT-ND6
GO_NADH_DEHYDROGENASE_COMPLEX,0.00801687793821948,0.235530344943552,0.380730400722792,0.858168898272926,1.78170252940947,7,MT-ND5 NDUFS2
GO_RIBONUCLEOPROTEIN_COMPLEX,8.64198466274926e-07,0.000153091287920882,0.659444398037935,0.671350211124801,1.76995903093066,130,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RACK1 HNRNPA1 VIM RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A ILF3 RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 HNRNPH1 ACTN4 RPL35 RPS24 RPL10A RPS15 GCN1 RPL27 RPS21 UBA52 RPL41 SNRNP70 PRPF8 RPL36 RPS12 RPS28
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,0.000609066459329393,0.0279979999113965,0.477270815362862,0.662252721918746,1.74052883265294,86,COL1A1 FN1 EMILIN1 SPARC LAMB1 FBLN1 LGALS3BP LAMC1 CTSB COL6A2 SERPINH1 COL6A1 LOXL2 AGRN COL6A3 TIMP2 PLOD3 LGALS1 NID1 COL18A1 COL5A1 FBN1 LAMB2 ANXA2 GPC1 SFRP1 HSPG2 CCN1 S100A6 LMAN1 DST COL5A2 P3H1 NCAM1
GO_EXTRACELLULAR_MATRIX,0.000517479396549912,0.0259348497565015,0.477270815362862,0.658445806411749,1.73183424155728,95,COL1A1 FN1 EMILIN1 SPARC LAMB1 FBLN1 LGALS3BP LAMC1 CTSB COL6A2 SERPINH1 COL6A1 LOXL2 AGRN COL6A3 TIMP2 PLOD3 LGALS1 NID1 COL18A1 COL5A1 FBN1 LAMB2 ANXA2 RELN GPC1 GLG1 VEGFA SFRP1 HSPG2 CCN1 S100A6 LMAN1 DST COL5A2 P3H1 MMP14 NCAM1
GO_CELL_SUBSTRATE_JUNCTION,4.87356122671145e-06,0.000692045694193026,0.610526878385931,0.647200202151071,1.7181064039658,143,ACTG1 RPS2 RPLP0 FLNA RPS3 RPL7A RPS18 ITGA3 VIM RPL6 RPS5 PLEC RPS8 MRC2 RPS7 RPS19 MME RPL19 RPS16 AHNAK RPL18 MYH9 RPL5 RPL37A ITGB1 RPS3A CLTC LRP1 RPS14 RPL23 ACTN4 RPL10A RPS15 TLN1 RPL27 IGF2R CD44 CD81 YWHAQ HSPB1 ALCAM HSPG2 MARCKS CTTN B2M MAP4K4 CD46 SCARB2 ITGA5 DST TNS3 VCL MMP14 RPL38 CTNNA1 CAPN2 NRP1
GO_CHROMAFFIN_GRANULE,0.00743390074463428,0.234580867941793,0.407017918923954,0.884258521449487,1.69896556917255,5,CHGA DBH CLU
GO_ENDOPLASMIC_RETICULUM,8.98423051178885e-07,0.000153091287920882,0.659444398037935,0.592110592055131,1.58277790830815,249,COL1A1 RPLP0 FN1 RPS3 LAMB1 RPL10 DBH VGF LAMC1 SCD RPL6 GANAB RPS8 PDIA2 PKD1 QSOX1 COL6A2 SERPINH1 RPL18 COL6A1 RPL5 PRKCSH RPS3A LOXL2 APLP2 CALU COL6A3 PLOD3 LGALS1 CHGB RTN4 ASPH RPL27 RPS21 COL18A1 PLOD1 COL5A1 SCG2 UBA52 UBA1 FBN1 LAMB2 DDOST MOGS RPL41 NUCB1 FKBP1A CKAP4 SSR2 RPS28 GRN ASS1 MARCHF6 FSTL1 COLGALT1 RRBP1 KDELR2 VCP COPG1 GPAA1 SRPRA TMEM132A B2M KDELR1 CCN1 EEF1B2 LRP5 ADAMTS7 ITGA5 SERP1 P3H3 PIEZO1 LARS1 COL5A2 SLC39A7 UBE2G2 MGAT4B P3H1 SEC16A CRTAP CAPN2 VMP1 GAS6 TH TMED9 MBTPS1 NCSTN EDEM3 SQSTM1 P3H4 GRINA RPS23 UGGT1 SEC31A MAN1B1 NPLOC4
GO_ANCHORING_JUNCTION,5.13552562475321e-05,0.00364622319357478,0.557332238758646,0.593331262960091,1.5779718256089,199,ACTG1 RPS2 RPLP0 FLNA RPS3 RPL7A RPS18 ITGA3 VIM RPL6 RPS5 PLEC RPS8 MRC2 RPS7 RPS19 MME RPL19 RPS16 AHNAK RPL18 MYH9 RPL5 RPL37A ITGB1 RPS3A CLTC LRP1 RPS14 RPL23 ACTN4 RPL10A RPS15 TLN1 RPL27 IGF2R UBA1 CD44 CD81 ANXA2 YWHAQ AKR1B1 DBN1 CCND1 VEGFA HSPB1 ALCAM ATP1B1 HSPG2 MARCKS CTTN B2M SCRIB MAP4K4 CD46 SCARB2 ITGA5 DST CLIC4 PLCG1 TNS3 VCL MMP14 RPL38 CTNNA1 CAPN2 NRP1 NIBAN2 NCSTN PPP1R9B FLOT1 ACTR2
GO_MEMBRANE_PROTEIN_COMPLEX,0.00312634456219275,0.110985231957843,0.431707695803346,0.559450202610603,1.48988576124987,168,MT-CO3 MT-ND5 EMILIN1 GNAS ITGA3 CALM2 PKD1 RET ITGB1 CLTC LRP1 COPA GNB1 SLC7A5 IGF2R DDOST AP2M1 KCNH2 FKBP1A AP3D1 MARCHF6 CHRNA3 ALCAM VCP ATP1B1 COPG1 HSPG2 GPAA1 SRPRA CTTN B2M SCRIB AP2B1 LRP5 CACNG4 IGF1R ITGA5
GO_SECRETORY_GRANULE,0.0079960656744232,0.235530344943552,0.380730400722792,0.561559610569406,1.488875340427,139,COL1A1 FN1 CHGA SPARC FTL DBH LGALS3BP MME CTSB QSOX1 LRP1 APLP2 TIMP2 ACTN4 CHGB UBR4 IGF2R SCG2 PLAT CD44 DDOST ANXA2 GAA TMSB4X CKAP4 FTH1 GSTP1 GRN VEGFA VCP LAMP1 B2M PSMD2 CD46 PAM DDX3X IMPDH2 VCL ABCA3 CTNNA1 PRDX6
GO_CELL_JUNCTION,0.000439742942360323,0.0238047370283218,0.49849310876659,0.541272661912038,1.44944648656936,264,ACTG1 RPS2 RPLP0 FLNA RPS3 RPL7A RPS18 ITGA3 VIM RPL6 RPS5 PLEC RPS8 MRC2 RPS7 RPS19 MME RPL19 RPS16 AHNAK RPL18 MYH9 RPL5 RPL37A ITGB1 RPS3A CLTC LRP1 RPS14 RPL23 AGRN ACTN4 RPL10A RPS15 RTN4 TLN1 RPL27 IGF2R UBA1 CD44 CLSTN1 CD81 ANXA2 PTPRS YWHAQ AKR1B1 ATN1 DBN1 CCND1 VEGFA HSPB1 MAP1B CHRNA3 ALCAM NSMF ATP1B1 HSPG2 MARCKS CTTN B2M SCRIB MAP4K4 CD46 SCARB2 ITGA5 DST CLIC4 PLCG1 TNS3 VCL MMP14 RPL38 CTNNA1 UNC5C CAPN2 NRP1 NIBAN2 NCSTN PPP1R9B FLOT1 ACTR2
GO_SYNAPSE,0.00209041115341923,0.0848109667958659,0.431707695803346,0.536115156788093,1.42894363566896,227,ACTG1 RPS2 RPLP0 FLNA SPARC RPS3 RPS18 DBH ITGA3 RPL6 RPS7 RPS19 MME RPL19 RPL18A TUBA1A EEF1A2 MYH9 ITGB1 RPS3A RPS14 RPS25 RPL23 AGRN DPYSL3 RPL10A RTN4 GNB1 RPS21 UBA52 PLAT CLSTN1 LAMB2 ARFGAP1 PTPRS YWHAQ NRCAM GPC1 AP3D1 SLC6A2 DBN1 PHB2 MAP1B CHRNA3 VCP NSMF LAMP1 CTTN SCRIB AP2B1 MAP4 CACNG4 PSMA7 ITGA5 NRP2 SEPTIN6 PLCG1 PFN2 RPL38 UNC5C NRP1 TH TMED9 NCSTN PPP1R9B RPS23 FLOT1 ACTR2 GNAI2
GO_DENSE_BODY,0.00354894716078316,0.12094811923949,0.431707695803346,0.998499249624812,1.34351262259168,1,ACTG1
